11348	65
11529	331
12469	411
6188	816
3915	849
3663	907
3182	978
3205	979
3323	987
2863	1046
2529	1050
2121	1082
1984	1103
1565	1119
4148	1230
9444	1258
9853	1315
9919	1402
1996	1464
4545	1477
7610	1492
7363	1556
8653	1650
8516	1706
10597	1829
7272	1978
6750	2241
11986	2786
9980	2935
8990	2954
9359	3041
11191	3052
6308	3113
4642	3146
11122	3164
10557	3168
1376	3180
1139	3204
1161	3326
756	3341
10308	3471
4669	3481
6917	3500
7376	3502
11328	3597
11687	3941
8267	4107
9596	4257
6152	4303
3636	4459
3337	4473
2875	4494
2788	4530
2576	4536
2036	4581
1969	4589
1542	4607
4523	4712
4231	4713
9485	4742
3605	4838
3117	4936
1999	4937
7317	5025
9016	5109
8360	5132
8399	5172
10467	5293
7148	5435
6465	5669
11956	6246
9681	6423
9340	6488
6234	6536
1384	6580
1129	6725
1041	6727
797	6740
4449	6877
